room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
6665594,33380091,Entire home/apt,,4,0,,6,1,190,1,21.27557,-157.820209,15:55.7
6250931,9771673,Entire home/apt,,4,0,,2,0,115,1,21.278583,-157.822539,15:44.1
3986979,14898273,Entire home/apt,,3,2,5,,3,375,3,21.401032,-157.750695,15:34.5
11392857,5357368,Private room,,4,1,2,3,1,59,1,21.276963,-157.822963,15:30.9
583095,2872572,Entire home/apt,,1,3,5,,2,475,6,21.334863,-158.120349,15:28.9
4336079,19252004,Private room,,4,61,4.5,2,1,85,1,21.273,-157.821458,15:18.5
5280111,27333416,Entire home/apt,,4,5,4.5,4,1,186,2,21.273858,-157.822171,15:15.3
2866865,14654082,Entire home/apt,,5,20,3.5,,2,229,3,21.277516,-157.820227,15:01.0
5173269,26586475,Entire home/apt,,2,10,5,,3,260,4,21.677267,-158.032668,14:58.0
5414800,28069769,Entire home/apt,,4,14,4.5,,2,225,3,21.275926,-157.822006,14:50.9
1205584,5930722,Entire home/apt,,4,3,4.5,,4,425,3,21.27277,-157.707805,14:48.2
7056179,36839537,Entire home/apt,,4,14,3.5,3,0,125,3,21.287464,-157.83846,14:44.6
8126392,42882600,Entire home/apt,,2,12,4.5,,3,270,2,21.582028,-158.128504,14:36.9
3876064,167085,Private room,,2,21,5,3,1,155,1,21.672182,-158.03732,14:34.3
6665576,33380091,Entire home/apt,,4,0,,4,1,210,1,21.273873,-157.822048,14:26.1
9114878,47497683,Private room,,2,3,4.5,2,1,115,1,21.668267,-158.04461,14:22.4
66838,328451,Entire home/apt,,2,0,,,3,325,4,21.679128,-158.035285,14:12.9
9526287,34884725,Private room,,4,2,1.5,2,1,88,1,21.290794,-157.694542,14:10.0
9449243,48964656,Entire home/apt,,3,8,5,2,0,225,5,21.399101,-157.734125,14:04.0
2303459,11763720,Entire home/apt,,4,64,4.5,2,0,130,1,21.276869,-157.82244,13:50.8
6665430,33380091,Entire home/apt,,4,0,,4,1,190,1,21.274375,-157.820273,13:48.6
4476652,10000414,Private room,,2,1,5,2,1,113,7,21.681958,-158.028599,13:45.0
6662726,10496350,Entire home/apt,,3,0,,,3,1050,10,21.411416,-157.765441,13:42.4
1786017,9314831,Private room,,2,129,5,2,1,80,1,21.582546,-158.138399,13:34.2
4794949,12622337,Entire home/apt,,4,11,5,4,1,170,2,21.275828,-157.822142,13:31.2
8827396,46236470,Shared room,,4,2,4,2,1,35,1,21.274996,-157.824331,13:24.5
9794733,19605881,Private room,,6,6,4.5,2,1,60,2,21.315421,-157.859621,13:21.4
5458160,706371,Entire home/apt,,4,3,3.5,,2,459,5,21.285387,-157.839618,13:15.6
10456101,53873371,Entire home/apt,,4,13,5,2,0,99,2,21.286444,-157.83831,13:07.5
6297229,29417584,Private room,,3,2,3.5,2,1,100,1,21.394264,-157.73352,13:01.5
753579,3964026,Entire home/apt,,2,30,5,3,1,165,3,21.700817,-157.99435,12:59.4
5630368,2073003,Entire home/apt,,4,27,5,2,0,89,3,21.276811,-157.823097,12:56.8
8670247,34010242,Entire home/apt,,4,12,5,2,0,119,2,21.287839,-157.832333,12:50.9
11167114,3314241,Entire home/apt,,5,0,,,4,425,1,21.287111,-157.805966,12:45.0
6901621,8900546,Entire home/apt,,4,27,4.5,,1,145,1,21.287309,-157.833301,12:36.0
7955807,36652282,Entire home/apt,,1,2,5,,3,350,7,21.346894,-158.125044,12:32.2
10768604,15074347,Private room,,5,10,5,2,1,55,1,21.301015,-157.832682,12:14.4
3291301,2349948,Entire home/apt,,4,43,4.5,2,0,99,2,21.274733,-157.821989,12:10.7
10191936,52347540,Entire home/apt,,2,2,5,3,1,325,3,21.65405,-158.060212,11:17.4
708501,1456277,Private room,,5,32,5,1,1,59,7,21.298789,-157.79204,11:14.7
1303637,6827732,Entire home/apt,,4,69,4.5,4,1,165,2,21.28481,-157.83961,10:15.7
4664661,5856233,Private room,,7,9,5,2,1,79,3,21.319251,-157.856782,10:13.9
10165232,51120890,Entire home/apt,,6,15,4,3,1,86,2,21.321592,-157.838273,10:11.8
9161659,47689828,Entire home/apt,,4,3,4.5,4,1,159,1,21.284923,-157.838707,10:03.1
1828027,9476342,Entire home/apt,,2,91,4.5,2,0,120,1,21.556759,-158.111699,09:50.5
10785937,1927133,Private room,,4,0,,1,1,75,5,21.279932,-157.749664,09:43.6
9493375,37104434,Entire home/apt,,4,1,5,,4,300,5,21.275435,-157.701831,09:38.7
6873656,36022973,Entire home/apt,,3,45,5,2,0,95,1,21.407052,-157.778818,09:32.4
5618072,2576932,Entire home/apt,,4,2,5,,3,774,3,21.28178,-157.827643,09:26.3
6665491,33380091,Entire home/apt,,4,0,,5,1,190,1,21.273905,-157.82166,09:15.8
